,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
0,59880.49762,220.24,1.76,117.4,1.4,4.7,1479.5,5.4,122.4,9.3,0.552,0.007,39.79,-4.3,1.9,2.1,95,1.4,5.3,1
1,59880.49762,217.82,2.9,115.5,1.4,3.72,1366.2,4.3,231.4,15,0.429,0.005,30.97,-0.3,0.8,0.8,98.5,1.8,-16.9,1.3
2,59880.49768,221.87,0.06,242.8,3,4.09,1300,13.7,735.7,896.2,0.993,0.012,71.61,1.1,0.2,0.2,97.7,1,3.3,0.7
3,59880.49795,220.88,3.78,174.6,2.1,3.54,1381,6.8,321.4,28,0.619,0.008,44.63,0.5,0.5,0.5,98.6,1.4,-6.7,1
4,59880.49799,220.91,0.24,32.1,0.4,4.06,1095.7,11.2,251.7,34.6,0.13,0.002,9.4,-3.1,1.8,1.5,94.5,6.7,-16.1,4.9
5,59880.49813,219.64,5.08,95.2,1.2,4.89,1564,56.7,338.4,65.8,0.465,0.006,33.55,2.1,1.2,1.2,90.6,1.6,7.2,1.2
6,59880.4982,223.3,0.17,138.2,1.7,8.97,1449.5,26.3,332.1,63.9,1.24,0.015,89.42,0.1,0.3,0.4,97.2,0.9,14.8,0.6
7,59880.49861,222.98,1.36,96.5,1.2,8.65,1399,15.2,374.2,61.9,0.834,0.01,60.19,3.1,0.6,0.6,97.8,1.5,-2.7,1
8,59880.49864,220.22,0.24,34.5,0.4,0.64,1004.4,22.4,110.3,34.3,0.022,0,1.59,13.3,21,21.9,82,20.2,34.6,16.5
9,59880.49892,221.35,0.21,77.7,0.9,8.74,1083,5.5,256.5,16.1,0.679,0.008,48.98,1.9,0.6,0.6,98.7,2.2,-3.8,1.6
10,59880.49898,220.75,0.32,29.1,0.4,0.95,875.2,197.9,175.8,108.2,0.028,0,1.99,-14.1,14.3,15.2,240.4,89.8,23.3,35.4
11,59880.49934,222,0.21,46.3,0.6,3.42,1183.7,6.8,299.6,38.6,0.158,0.002,11.41,1.9,1.4,1.3,96.2,4.9,11.8,3.6
12,59880.49934,219.36,1.53,40,0.5,3.08,1507.5,20.3,150.6,27.3,0.123,0.001,8.89,-28.3,13.1,11.4,70.6,4.9,-5.6,4
13,59880.49934,220.18,0.13,69.7,0.8,2.82,1094.8,3.7,193.2,11.1,0.196,0.002,14.15,1.1,1.2,1.2,97.5,4,-18.9,2.9
14,59880.49941,222.85,1.46,131.4,1.6,4.17,1318,6.2,330.9,41.1,0.548,0.007,39.5,-0.1,0.6,0.6,94.2,1.8,-3.3,1.3
